# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.08141e-05 to 1.10652 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       5.528410754347e-01       6.896845962109e-04      -4.038568099323e+04      -4.057157718757e+04       7.569644405132e-04      -4.053513283306e+04       7.749163365711e-03       7.749163365711e-03 
       5.777942217377e-01       6.440955951606e-04      -4.120741956651e+04      -4.139771529526e+04       7.069434213243e-04      -4.136044111798e+04       7.238733627310e-03       7.238733627310e-03 
       6.055070950444e-01       5.995199228086e-04      -4.211045070168e+04      -4.230433329981e+04       6.580003495643e-04      -4.226632573975e+04       6.735655168779e-03       6.735655168779e-03 
       6.368112411220e-01       5.542368154483e-04      -4.307048116777e+04      -4.326909075590e+04       6.083144096102e-04      -4.323017279987e+04       6.228584372227e-03       6.228584372227e-03 
       6.729801351921e-01       5.085615725725e-04      -4.413842240857e+04      -4.434175695141e+04       5.581830395816e-04      -4.430190257428e+04       5.715335245148e-03       5.715335245148e-03 
       7.160825562778e-01       4.614067379022e-04      -4.534063181022e+04      -4.554961922945e+04       5.064281677041e-04      -4.550866293291e+04       5.185512784468e-03       5.185512784468e-03 
       7.697321674444e-01       4.116633738909e-04      -4.675424952097e+04      -4.696968885537e+04       4.518421278566e-04      -4.692746476764e+04       4.627768675141e-03       4.627768675141e-03 
       8.408046801414e-01       3.580335113116e-04      -4.849362449752e+04      -4.871707082040e+04       3.929599101623e-04      -4.867327702033e+04       4.022760419689e-03       4.022760419689e-03 
       9.434878460919e-01       2.977247927187e-04      -5.078554366111e+04      -5.101954551017e+04       3.267733662009e-04      -5.097368263872e+04       3.345778707867e-03       3.345778707867e-03 
       1.106518962161e+00       2.301295895168e-04      -5.399385264032e+04      -5.424265745059e+04       2.525830626609e-04      -5.419389436256e+04       2.586166378219e-03       2.586166378219e-03 
